iter,residual_l2,error_l2
575,1.64742,0.0185145
576,1.64019,0.0184415
577,1.633,0.0183688
578,1.62585,0.0182964
579,1.61874,0.0182243
580,1.61166,0.0181525
581,1.60462,0.0180811
582,1.59761,0.0180099
583,1.59064,0.0179391
584,1.58371,0.0178685
585,1.57681,0.0177983
586,1.56995,0.0177283
587,1.56312,0.0176587
588,1.55633,0.0175893
589,1.54957,0.0175203
590,1.54285,0.0174515
591,1.53616,0.017383
592,1.5295,0.0173148
593,1.52288,0.0172469
594,1.5163,0.0171793
595,1.50974,0.017112
596,1.50322,0.017045
597,1.49673,0.0169782
598,1.49028,0.0169117
599,1.48386,0.0168455
600,1.47747,0.0167796
601,1.47111,0.016714
602,1.46478,0.0166486
603,1.45849,0.0165835
604,1.45223,0.0165187
605,1.446,0.0164541
606,1.4398,0.0163899
607,1.43363,0.0163259
608,1.42749,0.0162621
609,1.42138,0.0161987
610,1.41531,0.0161355
611,1.40926,0.0160725
612,1.40325,0.0160098
613,1.39726,0.0159474
614,1.3913,0.0158853
615,1.38538,0.0158234
616,1.37948,0.0157617
617,1.37361,0.0157004
618,1.36777,0.0156392
619,1.36196,0.0155784
620,1.35618,0.0155178
621,1.35042,0.0154574
622,1.3447,0.0153973
623,1.339,0.0153374
624,1.33333,0.0152778
625,1.32769,0.0152184
626,1.32208,0.0151593
627,1.31649,0.0151004
628,1.31093,0.0150418
629,1.3054,0.0149834
630,1.2999,0.0149253
631,1.29442,0.0148673
632,1.28897,0.0148097
633,1.28354,0.0147522
634,1.27815,0.014695
635,1.27277,0.0146381
636,1.26743,0.0145814
637,1.26211,0.0145249
638,1.25681,0.0144686
639,1.25154,0.0144126
640,1.2463,0.0143568
641,1.24108,0.0143012
642,1.23589,0.0142459
643,1.23072,0.0141907
644,1.22558,0.0141359
645,1.22046,0.0140812
646,1.21536,0.0140268
647,1.21029,0.0139725
648,1.20525,0.0139185
649,1.20023,0.0138648
650,1.19523,0.0138112
651,1.19025,0.0137579
652,1.1853,0.0137048
653,1.18038,0.0136519
654,1.17547,0.0135992
655,1.17059,0.0135467
656,1.16574,0.0134944
657,1.1609,0.0134424
658,1.15609,0.0133906
659,1.15131,0.0133389
660,1.14654,0.0132875
661,1.1418,0.0132363
662,1.13708,0.0131853
663,1.13238,0.0131346
664,1.1277,0.013084
665,1.12305,0.0130336
666,1.11841,0.0129834
667,1.1138,0.0129335
668,1.10921,0.0128837
669,1.10465,0.0128341
670,1.1001,0.0127848
671,1.09557,0.0127356
672,1.09107,0.0126866
673,1.08659,0.0126379
674,1.08212,0.0125893
675,1.07768,0.0125409
676,1.07326,0.0124927
677,1.06886,0.0124447
678,1.06448,0.012397
679,1.06012,0.0123494
680,1.05578,0.0123019
681,1.05146,0.0122547
682,1.04716,0.0122077
683,1.04288,0.0121609
684,1.03862,0.0121142
685,1.03438,0.0120677
686,1.03016,0.0120215
687,1.02596,0.0119754
688,1.02178,0.0119295
689,1.01761,0.0118838
690,1.01347,0.0118382
691,1.00934,0.0117929
692,1.00524,0.0117477
693,1.00115,0.0117027
694,0.997081,0.0116579
695,0.993031,0.0116132
696,0.988999,0.0115688
697,0.984985,0.0115245
698,0.98099,0.0114804
699,0.977013,0.0114365
700,0.973053,0.0113927
701,0.969112,0.0113492
702,0.965189,0.0113058
703,0.961283,0.0112625
704,0.957395,0.0112195
705,0.953524,0.0111766
706,0.949671,0.0111339
707,0.945836,0.0110913
708,0.942017,0.011049
709,0.938216,0.0110068
710,0.934432,0.0109647
711,0.930664,0.0109228
712,0.926914,0.0108811
713,0.923181,0.0108396
714,0.919464,0.0107982
715,0.915764,0.010757
716,0.91208,0.010716
717,0.908413,0.0106751
718,0.904762,0.0106344
719,0.901127,0.0105938
720,0.897509,0.0105534
721,0.893907,0.0105132
722,0.890321,0.0104731
723,0.88675,0.0104332
724,0.883196,0.0103934
725,0.879657,0.0103538
726,0.876134,0.0103143
727,0.872626,0.010275
728,0.869134,0.0102359
729,0.865658,0.0101969
730,0.862197,0.0101581
731,0.858751,0.0101194
732,0.85532,0.0100809
733,0.851904,0.0100425
734,0.848504,0.0100043
735,0.845118,0.00996623
736,0.841747,0.0099283
737,0.838391,0.00989053
738,0.83505,0.00985291
739,0.831723,0.00981543
740,0.828411,0.00977811
741,0.825113,0.00974092
742,0.82183,0.00970389
743,0.818561,0.009667
744,0.815307,0.00963025
745,0.812066,0.00959365
746,0.80884,0.0095572
747,0.805628,0.00952088
748,0.802429,0.00948471
749,0.799245,0.00944868
750,0.796074,0.00941279
751,0.792917,0.00937705
752,0.789774,0.00934144
753,0.786645,0.00930597
754,0.783529,0.00927064
755,0.780426,0.00923545
756,0.777337,0.0092004
757,0.774261,0.00916548
758,0.771199,0.0091307
759,0.768149,0.00909606
760,0.765113,0.00906155
761,0.76209,0.00902718
762,0.75908,0.00899294
763,0.756083,0.00895883
764,0.753098,0.00892486
765,0.750127,0.00889102
766,0.747168,0.00885731
767,0.744222,0.00882374
768,0.741288,0.00879029
769,0.738367,0.00875698
770,0.735459,0.00872379
771,0.732563,0.00869074
772,0.729679,0.00865781
773,0.726808,0.00862501
774,0.723949,0.00859234
775,0.721102,0.0085598
776,0.718267,0.00852738
777,0.715444,0.00849509
778,0.712633,0.00846292
779,0.709835,0.00843088
780,0.707048,0.00839897
781,0.704272,0.00836718
782,0.701509,0.00833551
783,0.698757,0.00830396
784,0.696017,0.00827254
785,0.693289,0.00824124
786,0.690572,0.00821006
787,0.687867,0.008179
788,0.685173,0.00814806
789,0.68249,0.00811724
790,0.679819,0.00808655
791,0.677158,0.00805597
792,0.67451,0.00802551
793,0.671872,0.00799516
794,0.669245,0.00796494
795,0.666629,0.00793483
796,0.664025,0.00790484
797,0.661431,0.00787496
798,0.658848,0.0078452
799,0.656276,0.00781555
800,0.653715,0.00778602
801,0.651164,0.00775661
802,0.648624,0.00772731
803,0.646095,0.00769812
804,0.643576,0.00766904
805,0.641068,0.00764008
806,0.638571,0.00761122
807,0.636083,0.00758248
808,0.633606,0.00755385
809,0.63114,0.00752533
810,0.628683,0.00749692
811,0.626237,0.00746862
812,0.623801,0.00744043
813,0.621375,0.00741235
814,0.618959,0.00738438
815,0.616553,0.00735651
816,0.614158,0.00732875
817,0.611772,0.0073011
818,0.609396,0.00727356
819,0.607029,0.00724612
820,0.604673,0.00721878
821,0.602326,0.00719156
822,0.599989,0.00716443
823,0.597662,0.00713741
824,0.595344,0.0071105
825,0.593036,0.00708369
826,0.590738,0.00705698
827,0.588448,0.00703037
828,0.586169,0.00700387
829,0.583898,0.00697747
830,0.581637,0.00695117
831,0.579385,0.00692497
832,0.577143,0.00689887
833,0.574909,0.00687287
834,0.572685,0.00684697
835,0.57047,0.00682118
836,0.568264,0.00679548
837,0.566067,0.00676988
838,0.563879,0.00674437
839,0.5617,0.00671897
840,0.55953,0.00669366
841,0.557369,0.00666845
842,0.555217,0.00664334
843,0.553073,0.00661832
844,0.550938,0.0065934
845,0.548812,0.00656857
846,0.546695,0.00654384
847,0.544586,0.0065192
848,0.542486,0.00649466
849,0.540394,0.00647021
850,0.538311,0.00644586
851,0.536236,0.0064216
852,0.53417,0.00639743
853,0.532112,0.00637335
854,0.530062,0.00634937
855,0.528021,0.00632548
856,0.525988,0.00630168
857,0.523963,0.00627797
858,0.521947,0.00625435
859,0.519938,0.00623082
860,0.517938,0.00620738
861,0.515946,0.00618403
862,0.513962,0.00616077
863,0.511986,0.0061376
864,0.510018,0.00611452
865,0.508058,0.00609152
866,0.506106,0.00606862
867,0.504161,0.0060458
868,0.502225,0.00602307
869,0.500296,0.00600042
870,0.498375,0.00597786
871,0.496462,0.00595539
872,0.494556,0.005933
873,0.492659,0.0059107
874,0.490768,0.00588848
875,0.488886,0.00586635
876,0.487011,0.0058443
877,0.485143,0.00582234
878,0.483283,0.00580046
879,0.481431,0.00577867
880,0.479586,0.00575695
881,0.477748,0.00573532
882,0.475917,0.00571377
883,0.474094,0.00569231
884,0.472279,0.00567092
885,0.47047,0.00564962
886,0.468669,0.0056284
887,0.466875,0.00560726
888,0.465088,0.0055862
889,0.463308,0.00556522
890,0.461536,0.00554432
891,0.45977,0.0055235
892,0.458012,0.00550276
893,0.45626,0.00548209
894,0.454516,0.00546151
895,0.452778,0.005441
896,0.451048,0.00542057
897,0.449324,0.00540022
898,0.447607,0.00537995
899,0.445897,0.00535976
900,0.444194,0.00533964
901,0.442497,0.00531959
902,0.440807,0.00529963
903,0.439124,0.00527974
904,0.437448,0.00525992
905,0.435778,0.00524018
906,0.434115,0.00522052
907,0.432459,0.00520093
908,0.430809,0.00518141
909,0.429166,0.00516197
910,0.427529,0.0051426
911,0.425898,0.00512331
912,0.424274,0.00510409
913,0.422657,0.00508494
914,0.421046,0.00506586
915,0.419441,0.00504686
916,0.417843,0.00502793
917,0.416251,0.00500907
918,0.414665,0.00499028
919,0.413086,0.00497157
920,0.411512,0.00495292
921,0.409945,0.00493434
922,0.408384,0.00491584
923,0.40683,0.00489741
924,0.405281,0.00487904
925,0.403739,0.00486075
926,0.402202,0.00484252
927,0.400672,0.00482436
928,0.399148,0.00480628
929,0.397629,0.00478826
930,0.396117,0.00477031
931,0.39461,0.00475242
932,0.39311,0.00473461
933,0.391615,0.00471686
934,0.390127,0.00469918
935,0.388644,0.00468157
936,0.387167,0.00466402
937,0.385695,0.00464654
938,0.38423,0.00462912
939,0.38277,0.00461178
940,0.381316,0.00459449
941,0.379868,0.00457728
942,0.378425,0.00456012
943,0.376988,0.00454304
944,0.375557,0.00452601
945,0.374131,0.00450905
946,0.372711,0.00449216
947,0.371296,0.00447533
948,0.369887,0.00445856
949,0.368484,0.00444186
950,0.367086,0.00442522
951,0.365693,0.00440864
952,0.364306,0.00439213
953,0.362924,0.00437567
954,0.361548,0.00435928
955,0.360177,0.00434296
956,0.358811,0.00432669
957,0.357451,0.00431048
958,0.356096,0.00429434
959,0.354746,0.00427826
960,0.353402,0.00426223
961,0.352063,0.00424627
962,0.350729,0.00423037
963,0.3494,0.00421453
964,0.348076,0.00419875
965,0.346758,0.00418303
966,0.345444,0.00416736
967,0.344136,0.00415176
968,0.342833,0.00413622
969,0.341535,0.00412073
970,0.340242,0.0041053
971,0.338954,0.00408993
972,0.337671,0.00407462
973,0.336393,0.00405937
974,0.33512,0.00404417
975,0.333852,0.00402903
976,0.332588,0.00401395
977,0.33133,0.00399893
978,0.330077,0.00398396
979,0.328828,0.00396905
980,0.327585,0.00395419
981,0.326346,0.00393939
982,0.325112,0.00392465
983,0.323882,0.00390996
984,0.322658,0.00389533
985,0.321438,0.00388075
986,0.320223,0.00386623
987,0.319013,0.00385176
988,0.317807,0.00383735
989,0.316606,0.00382299
990,0.315409,0.00380868
991,0.314218,0.00379443
992,0.313031,0.00378023
993,0.311848,0.00376609
994,0.31067,0.003752
995,0.309497,0.00373796
996,0.308328,0.00372398
997,0.307163,0.00371005
998,0.306004,0.00369617
999,0.304848,0.00368234
1000,0.303697,0.00366856
1001,0.302551,0.00365484
1002,0.301409,0.00364117
1003,0.300271,0.00362755
1004,0.299138,0.00361398
1005,0.298009,0.00360046
1006,0.296884,0.00358699
1007,0.295764,0.00357358
1008,0.294648,0.00356021
1009,0.293536,0.0035469
1010,0.292429,0.00353363
1011,0.291326,0.00352042
1012,0.290227,0.00350725
1013,0.289133,0.00349413
1014,0.288042,0.00348107
1015,0.286956,0.00346805
1016,0.285874,0.00345508
1017,0.284796,0.00344216
1018,0.283722,0.00342929
1019,0.282653,0.00341647
1020,0.281587,0.00340369
1021,0.280526,0.00339097
1022,0.279469,0.00337829
1023,0.278415,0.00336566
1024,0.277366,0.00335307
1025,0.276321,0.00334053
1026,0.27528,0.00332805
1027,0.274243,0.0033156
1028,0.27321,0.00330321
1029,0.27218,0.00329086
1030,0.271155,0.00327856
1031,0.270134,0.0032663
1032,0.269116,0.00325409
1033,0.268103,0.00324193
1034,0.267093,0.00322981
1035,0.266088,0.00321773
1036,0.265086,0.00320571
1037,0.264088,0.00319372
1038,0.263093,0.00318179
1039,0.262103,0.00316989
1040,0.261116,0.00315804
1041,0.260133,0.00314624
1042,0.259154,0.00313448
1043,0.258179,0.00312277
1044,0.257207,0.0031111
1045,0.25624,0.00309947
1046,0.255275,0.00308788
1047,0.254315,0.00307634
1048,0.253358,0.00306485
1049,0.252405,0.00305339
1050,0.251455,0.00304198
1051,0.250509,0.00303062
1052,0.249567,0.00301929
1053,0.248628,0.00300801
1054,0.247693,0.00299677
1055,0.246762,0.00298557
1056,0.245834,0.00297441
1057,0.244909,0.0029633
1058,0.243988,0.00295223
1059,0.243071,0.0029412
1060,0.242157,0.00293021
1061,0.241247,0.00291926
1062,0.24034,0.00290835
1063,0.239436,0.00289749
1064,0.238536,0.00288666
1065,0.23764,0.00287588
1066,0.236747,0.00286513
1067,0.235857,0.00285443
1068,0.234971,0.00284376
1069,0.234088,0.00283314
1070,0.233208,0.00282256
1071,0.232332,0.00281201
1072,0.231459,0.00280151
1073,0.230589,0.00279104
1074,0.229723,0.00278062
1075,0.22886,0.00277023
1076,0.228,0.00275988
1077,0.227144,0.00274957
1078,0.226291,0.0027393
1079,0.225441,0.00272907
1080,0.224594,0.00271887
1081,0.223751,0.00270872
1082,0.22291,0.0026986
1083,0.222073,0.00268852
1084,0.221239,0.00267848
1085,0.220409,0.00266848
1086,0.219581,0.00265851
1087,0.218757,0.00264858
1088,0.217935,0.00263869
